local-authority-code,league-group,la_imd_pop_quintile
WOK,Single tier,5.0
WOT,District councils,4.0
WOX,District councils,5.0
WRL,Single tier,1.0
WRT,Single tier,3.0
WRX,Single tier,3.0
WSK,District councils,4.0
WSM,Single tier,3.0
WYC,District councils,4.0
WYE,District councils,3.0
WYR,District councils,3.0
YOR,Single tier,5.0
ZET,Single tier,5.0
